,CMIP6 Compound Name,Physical Parameter,Title,Description,Dimensions,Spatial Shape,Coordinates,Temporal Shape,Cell Methods,Cell Measures,KET comments,correct dimensions,correct cell methods,variableRootDD (if different from Phys. Param.),Region input,recommended reporting grid,Region,Review Requested,dimensions for determining branding suffix,cell_methods for determining branding suffix,variableRootDD,branded variable name
10,IyrAnt.acabf,acabf,Surface Mass Balance Flux,"quantity averaged over ice sheet only, to avoid contamination from other surfaces (eg: permafrost)","xant, yant, time",Polar stereographic grid (Antarctic),,time-intv,area: time: mean where ice_sheet,area: areacellg,see *** comment below all listed variables.  ,"longitude, latitude, time",,,,ice sheet,ant,,"longitude, latitude, time",area: time: mean where ice_sheet,acabf,acabf_tavg-u-hxy-is
11,IyrGre.acabf,acabf,Surface Mass Balance Flux,"quantity averaged over ice sheet only, to avoid contamination from other surfaces (eg: permafrost)","xgre, ygre, time",Polar stereographic grid (Greenland),,time-intv,area: time: mean where ice_sheet,area: areacellg,"see *** comment below all listed variables.  When corrrected, this duplicates variable above and will not appear separately.","longitude, latitude, time",,,,ice sheet,gre,,"longitude, latitude, time",area: time: mean where ice_sheet,acabf,acabf_tavg-u-hxy-is
12,LImon.acabfIs,acabfIs,Ice Sheet Surface Mass Balance Flux,"quantity averaged over ice_sheet (meaning grounded ice sheet and floating ice shelf) only, to avoid contamination from other surfaces (eg: permafrost)","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where ice_sheet,area: areacella,the root names must be consistent with the name for mass balance used for Greenland and Antarctica. ,,,acabf,,ice sheet,glb,,"longitude, latitude, time",area: time: mean where ice_sheet,acabf,acabf_tavg-u-hxy-is
13,LImon.agesno,agesno,Mean Age of Snow,"When computing the time-mean here, the time samples, weighted by the mass of snow on the land portion of the grid cell, are accumulated and then divided by the sum of the weights.  Reported as ""missing in regions free of snow on land.","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean (weighted by snow mass on land),area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean (weighted by snow mass on land),agesno,agesno_tavg-u-hxy-lnd
14,Omon.agessc,agessc,Sea Water Age Since Surface Contact,Time elapsed since water was last in surface layer of the ocean.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,agessc,agessc_tavg-l-hxy-sea
15,AERmon.airmass,airmass,Vertically Integrated Mass Content of Air in Layer,The mass of air in an atmospheric layer.,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,airmass,airmass_tavg-l-hxy-u
16,Emon.albc,albc,Canopy Albedo,Canopy Albedo,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,"As noted in my spreadsheet:  this is only defined ""where vegetation"".  Record instead ""upwelling shortwave radiation at the surface"" where vegetation.  If albedo is recorded, then must specify ""where vegetation"" plus weighting.  So cell_methods = ""area: time: mean where vegetation (weighted by canopy area and by downwelling shortwave radiation at the surface)"".",,area: time: mean where vegetation (weighted by canopy area and by downwelling shortwave radiation at the surface),,,atmosphere,glb,,"longitude, latitude, time",area: time: mean where vegetation (weighted by canopy area and by downwelling shortwave radiation at the surface),albc,albc_tavg-u-hxy-veg
17,CFday.albisccp,albisccp,ISCCP Mean Cloud Albedo,time-means are weighted by the ISCCP Total Cloud Fraction - see  http://cfmip.metoffice.com/COSP.html,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where cloud,area: areacella,"As noted in my spreadsheet, incorrect cell_methods.  Also, the link to  http://cfmip.metoffice.com/COSP.html is currently inaccessible.",,area: mean (weighted by incident surface diffuse shortwave in band) time: point,,,atmosphere,glb,,"longitude, latitude, time",area: mean (weighted by incident surface diffuse shortwave in band) time: point,albisccp,albisccp_tavg-u-hxy-u
18,CFmon.albisccp,albisccp,ISCCP Mean Cloud Albedo,time-means weighted by the ISCCP Total Cloud Fraction - see http://cfmip.metoffice.com/COSP.html,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where cloud,area: areacella,"As noted in my spreadsheet, incorrect cell_methods.  Also, the link to  http://cfmip.metoffice.com/COSP.html is currently inaccessible.",,area: mean (weighted by incident surface diffuse shortwave in band) time: point,,,atmosphere,glb,,"longitude, latitude, time",area: mean (weighted by incident surface diffuse shortwave in band) time: point,albisccp,albisccp_tavg-u-hxy-u
19,Emon.albsn,albsn,Snow Albedo,"This is similar to Eday.albsn, but providing monthly averages","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean where snow (comment: mask=snc),"area: areacella,area: areacello","As noted in my spreadsheet, incorrect cell_methods.  CF says the ""comment:"" keyword should be omitted in this case and it is unclear what ""mask=snc"" refers to.",, area: time: mean where snow (weighted by downwelling shortwave radiation at surface),,,atmosphere,glb,,"longitude, latitude, time", area: time: mean where snow (weighted by downwelling shortwave radiation at surface),albsn,albsn_tavg-u-hxy-sn
20,Emon.albsrfc,albsrfc,Monthly Albedo of the Surface,"surface albedo at grid cell level (i.e. the albedo averaged over all potential subgrid-scale structures) over all wave-bands; this shall apply to all realms (land, ocean, sea ice, land ice)","longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,"area: areacella,area: areacello","To reduce size of data request and its impact on  CO2 emissions, we should eliminate this variable as it can be trivially calculated from the rsdt and rsut variables, which will be always of more general interest.",, area: time: mean where snow (weighted by downwelling shortwave radiation at surface),,,atmosphere,glb,,"longitude, latitude, time", area: time: mean where snow (weighted by downwelling shortwave radiation at surface),albsrfc,albsrfc_tavg-u-hxy-sn
21,AERmon.aoanh,aoanh,Northern Hemisphere Tracer Lifetime,"Fixed surface layer mixing ratio over 30o-50oN (0 ppbv), uniform fixed source (at all levels) everywhere else (source is unspecified but must be constant in space and time and documented). Note that the source could be 1yr/yr, so the tracer concentration provides mean age in years. For method using linearly increasing tracer include a method attribute: ""linearly increasing tracer""For method using uniform source (1yr/yr) include a method attribute: ""uniform source""","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,"As noted in my spreadsheet, more useful for most purposes would be to weight this.  Some folks may do this on their own, but others won't, so it should be indicated in the cell_methods.",,area: time: mean (weighted by tracer mass),,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean (weighted by tracer mass),aoanh,aoanh_tavg-l-hxy-u
22,Amon.aod550volso4,aod550volso4,Monthly Aerosol Optical Depth at 550nm Due to Stratospheric Volcanic Aerosols,This is the monthly averaged aerosol optical thickness at 550 nm due to stratospheric volcanic sulphate aerosols,"longitude, latitude, time, lambda550nm",Global field (single level),lambda550nm,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time, lambda550nm",area: time: mean,aod550volso4,aod550volso4_tavg-u-hxy-u
23,Omon.arag,arag,Aragonite Concentration,"sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,arag,arag_tavg-l-hxy-sea
24,Omon.aragos,aragos,Surface Aragonite Concentration,"sum of particulate aragonite components (e.g. Phytoplankton, Detrital, etc.)","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello, Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,arag,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,arag,arag_tavg-u-hm-sea
25,fx.areacella,areacella,Grid-Cell Area for Atmospheric Grid Variables,"Cell areas for any grid used to report atmospheric variables and any other variable using that grid (e.g., soil moisture content). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).","longitude, latitude",Global field (single level),,,area: sum,,,,,,,atmosphere,glb,,"longitude, latitude",area: sum,areacella,areacella_ti-u-hxy-u
26,IfxAnt.areacellg,areacellg,Grid-Cell Area for Ice Sheet Variables,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)","longitude, latitude",Global field (single level),,,area: sum,,,,,,,ice sheet,glb,,"longitude, latitude",area: sum,areacellg,areacellg_ti-u-hxy-u
27,IfxGre.areacellg,areacellg,Grid-Cell Area for Ice Sheet Variables,"Cell areas any grid used to report ice sheet variables. These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere)","longitude, latitude",Global field (single level),,,area: sum,,,,,,,ice sheet,glb,,"longitude, latitude",area: sum,areacellg,areacellg_ti-u-hxy-u
28,Ofx.areacello,areacello,Grid-Cell Area for Ocean Variables,"Cell areas for any grid used to report ocean variables and variables which are requested as used on the model ocean grid (e.g. hfsso, which is a downward heat flux from the atmosphere interpolated onto the ocean grid). These cell areas should be defined to enable exact calculation of global integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).","longitude, latitude",Global field (single level),,,area: sum,,,,,,,ice sheet,glb,,"longitude, latitude",area: sum,areacello,areacello_ti-u-hxy-u
29,fx.areacellr,areacellr,Grid-Cell Area for River Model Variables,"Cell areas for any grid used to report river model variables (may be the same as for atmospheric variables). These cell areas should be defined to enable exact calculation of area integrals (e.g., of vertical fluxes of energy at the surface and top of the atmosphere).","longitude, latitude",Global field (single level),,,area: sum,,What variables are supposed to be reported on this grid?  Are Eday.drivw and Eday.rivi and Eday.rivo the only ones?,,,,,river,glb,,"longitude, latitude",area: sum,areacellr,areacellr_ti-u-hxy-u
30,Omon.baccos,baccos,Surface Bacterial Carbon Concentration,sum of bacterial carbon component concentrations,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,  Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,bacc,,none,glb,,longitude latitude time depth0m,area: mean where sea time: mean,bacc,bacc_tavg-u-hm-sea
31,Eyr.baresoilFrac,baresoilFrac,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.,"longitude, latitude, time, typebare",Global field (single level),typebare,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,none,glb,,"longitude, latitude, time, typebare","area: mean time:mean"" (or ""area time: mean"")",baresoilFrac,baresoilFrac_tavg-u-hxy-u
32,Lmon.baresoilFrac,baresoilFrac,Bare Soil Percentage Area Coverage,Percentage of entire grid cell  that is covered by bare soil.,"longitude, latitude, time, typebare",Global field (single level),typebare,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typebare","area: mean time:mean"" (or ""area time: mean"")",baresoilFrac,baresoilFrac_tavg-u-hxy-u
33,Ofx.basin,basin,Region Selection Index,A variable with the standard name of region contains strings which indicate geographical regions. These strings must be chosen from the standard region list.,"longitude, latitude",Global field (single level),,,area: mean,area: areacello,,,,,,ocean,glb,,"longitude, latitude",area: mean,basin,basin_ti-u-hxy-u
34,Oday.bigthetao200,bigthetao,Sea Water Conservative Temperature at 200 meters,Diagnostic should be contributed even for models using conservative temperature as prognostic field.,"longitude, latitude, time, swp20bar",Global field (single level),swp20bar,time-intv,area: time: mean,area: areacello,"name of dimension changed to ""oplev20bar"" consistent with branded variables.  Include ""where sea"" in cell_methods.","longitude, latitude, time, oplev20bar",area: mean where sea time: mean,,,ocean,glb,,"longitude, latitude, time, oplev20bar",area: mean where sea time: mean,bigthetao,bigthetao_tavg-u-hxy-sea
35,Odec.bigthetao,bigthetao,Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,bigthetao,bigthetao_tavg-l-hxy-sea
36,Omon.bigthetao,bigthetao,Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,"longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,bigthetao,bigthetao_tavg-l-hxy-sea
37,Omon.bigthetaoga,bigthetaoga,Global Average Sea Water Conservative Temperature,Diagnostic should be contributed only for models using conservative temperature as prognostic field.,"olevel, time",Global mean ocean profile,,time-intv,area: mean where sea time: mean,,"the root name does not include ""ga"" because that information is provided by the suffix.",,,bigthetao,,ocean,glb,,"olevel, time",area: mean where sea time: mean,bigthetao,bigthetao_tavg-l-hm-sea
38,3hrPt.bldep,bldep,Boundary Layer Depth,Boundary Layer Depth every 3 hours,"longitude, latitude, time1",Global field (single level),,time-point,area: mean time: point,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time1",area: mean time: point,bldep,bldep_tpt-u-hxy-u
39,AERmon.bldep,bldep,Boundary Layer Depth,Boundary layer depth,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,bldep,bldep_tavg-u-hxy-u
40,E1hr.bldep,bldep,Boundary layer depth,Boundary Layer depth,"longitude, latitude, time",Global field (single level),,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: time: mean,bldep,bldep_tavg-u-hxy-u
41,AERmonZ.bry,bry,Total Inorganic Bromine Volume Mixing Ratio,"Total family (the sum of all appropriate species in the model) ; list the species in the netCDF header, e.g. Bry = Br + BrO + HOBr + HBr + BrONO2 + BrCl Definition: Total inorganic bromine (e.g., HBr and inorganic bromine oxides and radicals (e.g., BrO, atomic bromine (Br), bromine nitrate (BrONO2)) resulting from degradation of bromine-containing organicsource gases (halons, methyl bromide, VSLS), and natural inorganic bromine sources (e.g., volcanoes, sea salt, and other aerosols) add comment attribute with detailed description about how the model calculates these fields","latitude, plev39, time",Atmospheric zonal mean (on 39 pressure levels),,time-intv,longitude: time: mean where air,,,,,,,atmosphere,glb,,"latitude, plev39, time",longitude: time: mean where air,bry,bry_tavg-p39-hy-air
42,6hrLev.bs550aer,bs550aer,Aerosol Backscatter Coefficient,"Aerosol  Backscatter at wavelength 550nm and scattering angle 180 degrees, computed from extinction and lidar ratio","longitude, latitude, alevel, time1, lambda550nm",Global field on model atmosphere levels,lambda550nm,time-point,area: mean time: point,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time1, lambda550nm",area: mean time: point,bs550aer,bs550aer_tpt-l-hxy-u
43,Lmon.burntFractionAll,burntFractionAll,Percentage of Entire Grid Cell That Is Covered by Burnt Vegetation (All Classes),Percentage of grid cell burned due to all fires including natural and anthropogenic fires and those associated with anthropogenic land use change,"longitude, latitude, time, typeburnt",Global field (single level),typeburnt,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typeburnt","area: mean time:mean"" (or ""area time: mean"")",burntFractionAll,burntFractionAll_tavg-u-hxy-u
44,Emon.c13Land,c13Land,Mass of 13C in All Terrestrial Carbon Pools,"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock).","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c13Land,c13Land_tavg-u-hxy-lnd
45,Emon.c13Litter,c13Litter,Mass of 13C in Litter Pool,Carbon-13 mass content per unit area litter (dead plant material in or above the soil).,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c13Litter,c13Litter_tavg-u-hxy-lnd
46,Emon.c13Soil,c13Soil,Mass of 13C in Soil Pool,Carbon-13 mass content per unit area in soil.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c13Soil,c13Soil_tavg-u-hxy-lnd
47,Emon.c13Veg,c13Veg,Mass of 13C in Vegetation,"Carbon-13 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass).","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,??? Where vegetation ???,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c13Veg,c13Veg_tavg-u-hxy-lnd
48,Emon.c14Land,c14Land,Mass of 14C in All Terrestrial Carbon Pools,"Carbon-14 mass content per unit area in vegetation (any living plants e.g. trees, shrubs, grass), litter (dead plant material in or above the soil), soil, and forestry and agricultural products (e.g. paper, cardboard, furniture, timber for construction, biofuels and food for both humans and livestock).","longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c14Land,c14Land_tavg-u-hxy-lnd
49,Emon.c14Litter,c14Litter,Mass of 14C in Litter Pool,Carbon-14 mass content per unit area litter (dead plant material in or above the soil).,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c14Litter,c14Litter_tavg-u-hxy-lnd
50,Emon.c14Soil,c14Soil,Mass of 14C in Soil Pool,Carbon-14 mass content per unit area in soil.,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c14Soil,c14Soil_tavg-u-hxy-lnd
51,Emon.c14Veg,c14Veg,Mass of 14C in Vegetation,only requested for DECK HIST,"longitude, latitude, time",Global field (single level),,time-intv,area: mean where land time: mean,area: areacella,??? Where vegetation ???,,,,,atmosphere,glb,,"longitude, latitude, time",area: mean where land time: mean,c14Veg,c14Veg_tavg-u-hxy-lnd
52,AERmon.c2h4,c2h4,C2H4  volume mixing ratio,Mole fraction of ethene (C2H4) in air,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,c2h4,c2h4_tavg-l-hxy-u
53,AERmon.c2h5oh,c2h5oh,C2H5OH  volume mixing ratio,Mole fraction of ethanol (C2H5OH) in air,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,c2h5oh,c2h5oh_tavg-l-hxy-u
54,AERmon.c2h6,c2h6,C2H6 Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,c2h6,c2h6_tavg-l-hxy-u
55,AERmon.c3h6,c3h6,C3H6 Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,c3h6,c3h6_tavg-l-hxy-u
56,AERmon.c3h8,c3h8,C3H8 Volume Mixing Ratio,"Mole fraction is used in the construction mole_fraction_of_X_in_Y, where X is a material constituent of Y.","longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,c3h8,c3h8_tavg-l-hxy-u
57,Lmon.c3PftFrac,c3PftFrac,Percentage Cover by C3 Plant Functional Type,"Percentage of entire grid cell  that is covered by C3 PFTs (including grass, crops, and trees).","longitude, latitude, time, typec3pft",Global field (single level),typec3pft,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typec3pft","area: mean time:mean"" (or ""area time: mean"")",c3PftFrac,c3PftFrac_tavg-u-hxy-u
58,AERmon.c4h10,c4h10,C4H10  volume mixing ratio,Mole fraction of butane (C4H10) in air,"longitude, latitude, alevel, time",Global field on model atmosphere levels,,time-intv,area: time: mean,area: areacella,,,,,,atmosphere,glb,,"longitude, latitude, alevel, time",area: time: mean,c4h10,c4h10_tavg-l-hxy-u
59,Lmon.c4PftFrac,c4PftFrac,Percentage Cover by C4 Plant Functional Type,Percentage of entire grid cell  that is covered by C4 PFTs (including grass and crops).,"longitude, latitude, time, typec4pft",Global field (single level),typec4pft,time-intv,area: mean where land over all_area_types time: mean,area: areacella,"by not changing the cell_methods, the algorithm generating the branded variable names fails.  This cannot be easily remedied, so this change in the data request is essential.  The change will also  make these fractions consistent with other area fractions and ensure that area fraction is defined everywhere (even over sea).  Having it defined is important for the analysis of global datasets.",,"area: mean time:mean"" (or ""area time: mean"")",,,atmosphere,glb,,"longitude, latitude, time, typec4pft","area: mean time:mean"" (or ""area time: mean"")",c4PftFrac,c4PftFrac_tavg-u-hxy-u
60,Omon.calc,calc,Calcite Concentration,"sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)","longitude, latitude, olevel, time",Global ocean field on model levels,,time-intv,area: mean where sea time: mean,area: areacello volume: volcello,,,,,,ocean,glb,,"longitude, latitude, olevel, time",area: mean where sea time: mean,calc,calc_tavg-l-hxy-sea
61,Omon.calcos,calcos,Surface Calcite Concentration,"sum of particulate calcite component concentrations (e.g. Phytoplankton, Detrital, etc.)","longitude, latitude, time",Global field (single level),,time-intv,area: mean where sea time: mean,area: areacello,as noted on my spreadsheet this needs a vertical coordinate.   Root name differs from physical parameter name because vertical location is indicated in the branding suffix.,longitude latitude time depth0m,,calc,,ocean,glb,,longitude latitude time depth0m,area: mean where sea time: mean,calc,calc_tavg-u-hm-sea
